year,id,word_count,cooccur_topic1_letter,cooccur_topic2_white,cooccur_topic4_land,cooccur_topic5_fame,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic4_good,cooccur_topic3_brig,cooccur_topic1_received,cooccur_topic4_viii,cooccur_topic1_year,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_plain,cooccur_topic2_black,cooccur_topic4_town,cooccur_topic3_day,cooccur_topic5_notice,smallpox_epidemic_cooccurrences,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic4_portland,cooccur_topic5_make,cooccur_topic5_hereby,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1805,22_1805-05-13_p4_sn83045636_00332895060_1805051301_0626,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02644124,0.01672364,0.35082152,0.59747434,0.00853924
1805,34_1805-07-09_p1_sn83045636_00332895060_1805070901_0655,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009878417,0.00677645,0.0051763933,0.004182662,0.973986
1805,18_1805-12-23_p3_sn83016082_00332895060_1805122301_0753,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022969516,0.011313995,0.008522603,0.006781842,0.9504121
1805,3_1805-07-16_p1_sn83045636_00332895060_1805071601_0659,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5198783,0.0022642934,0.41832945,0.05841075,0.0011171442
1805,11_1805-07-02_p2_sn83045636_00332895060_1805070201_0652,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010572155,0.007203443,0.005499458,0.0044452236,0.97227967
1805,5_1805-08-05_p1_sn83016082_00332895060_1805080501_0671,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6917963,0.09493082,0.007739266,0.20033893,0.0051946715
1805,24_1805-07-23_p2_sn83016082_00332895060_1805072301_0664,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031170389,0.020997033,0.113766514,0.012925234,0.8211408
1805,46_1805-07-02_p2_sn83045636_00332895060_1805070201_0652,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58240545,0.005089644,0.40692326,0.003038184,0.0025434745
1805,13_1805-05-13_p2_sn83045636_00332895060_1805051301_0624,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025254019,0.014805969,0.9435317,0.008945648,0.007462687
1805,7_1805-10-21_p1_sn83016082_00332895060_1805102101_0715,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025684603,0.014765754,0.011165981,0.51728207,0.4311016
1805,24_1805-08-19_p4_sn83016082_00332895060_1805081901_0682,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30606496,0.5858908,0.09930754,0.0047534597,0.0039832275
1805,19_1805-07-29_p2_sn83016082_00332895060_1805072901_0668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86599654,0.04614331,0.035383724,0.02859725,0.023879116
1805,43_1805-04-29_p3_sn83045636_00332895060_1805042901_0617,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029821292,0.08269919,0.012560575,0.010185366,0.8647336
1805,28_1805-12-16_p4_sn83016082_00332895060_1805121601_0750,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004127267,0.9762331,0.0020497122,0.016201403,0.0013884485
1805,11_1805-07-23_p4_sn83016082_00332895060_1805072301_0666,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12343258,0.013834223,0.010481694,0.19052477,0.66172665
1805,7_1805-12-23_p2_sn83016082_00332895060_1805122301_0752,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20115452,0.0020427462,0.74343026,0.052333545,0.00103891
1805,5_1805-08-19_p3_sn83016082_00332895060_1805081901_0681,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587617,0.0038498126,0.4043066,0.0022991726,0.0019274987
1805,1_1805-09-02_p1_sn83016082_00332895060_1805090201_0687,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19897227,0.0037981411,0.79293627,0.0023352087,0.0019581001
1805,6_1805-07-09_p2_sn83045636_00332895060_1805070901_0656,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94398904,0.0193236,0.014889667,0.011850599,0.009947046
1805,36_1805-11-18_p3_sn83016082_00332895060_1805111801_0733,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012493256,0.008538778,0.0065208506,0.005267596,0.9671795
1805,18_1805-12-02_p3_sn83016082_00332895060_1805120201_0741,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9248163,0.026327591,0.019786004,0.015807638,0.013262545
1805,28_1805-10-28_p3_sn83016082_00332895060_1805102801_0721,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02117785,0.0027233877,0.0020745508,0.0016740703,0.9723502
1805,31_1805-11-25_p3_sn83016082_00332895060_1805112501_0737,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014327011,0.9674018,0.0073545785,0.0059432713,0.0049733818
