year,id,word_count,cooccur_topic2_little,cooccur_topic1_house,cooccur_topic4_range,cooccur_topic4_land,cooccur_topic3_public,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic1_good,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic3_dollar,cooccur_topic4_black,cooccur_topic2_court,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_township,smallpox_plague_cooccurrences,cooccur_topic4_said,cooccur_topic5_people,cooccur_topic1_time,cooccur_topic3_shall,cooccur_topic3_hundred,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1831,28_1831-02-09_p4_sn84021903_00414187432_1831020901_0027,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97562635,0.008580039,0.006428782,0.0050940462,0.004270729
1831,10_1831-12-01_p3_sn84020071_00414182938_1831120101_0593,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011296037,0.00068044313,0.11942312,0.00040278645,0.878364
1831,50_1831-02-09_p4_sn84021903_00414187432_1831020901_0027,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22729318,0.7388077,0.013686928,0.011005296,0.009206919
1831,13_1831-07-23_p3_sn84021903_00414187432_1831072301_0114,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058580834,0.9324285,0.0036351152,0.0029153333,0.0024402274
1831,19_1831-04-06_p1_sn87062070_0039334295A_1831040601_0218,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005786279,0.0038523038,0.9862018,0.0022626761,0.0018969446
1831,21_1831-02-09_p4_sn84021903_00414187432_1831020901_0027,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008359365,0.03262296,0.9536664,0.0029107563,0.0024405175
1831,26_1831-08-18_p1_sn84020071_00414182938_1831081801_0533,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24473417,0.004642079,0.0034114926,0.0027465688,0.7444657
1831,21_1831-07-16_p1_sn84021903_00414187432_1831071601_0108,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9270163,0.0035965983,0.06553037,0.0020980148,0.0017587921
1831,11_1831-09-15_p4_sn84020071_00414182938_1831091501_0552,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977564,0.0077953874,0.005896577,0.00475736,0.003986693
1831,11_1831-11-12_p4_sn84021903_00414187432_1831111201_0175,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009047916,0.0053251763,0.9799286,0.0030998266,0.0025984629
