year,id,word_count,cooccur_topic2_church,cooccur_topic3_time,smallpox_death_cooccurrences,smallpox_epidemic_cooccurrences,cooccur_topic1_city,cooccur_topic5_people,smallpox_sick_cooccurrences,cooccur_topic1_county,cooccur_topic4_train,smallpox_plague_cooccurrences,cooccur_topic4_house,cooccur_topic2_made,smallpox_burial_cooccurrences,cooccur_topic4_year,smallpox_outbreak_cooccurrences,smallpox_pandemic_cooccurrences,cooccur_topic4_street,cooccur_topic5_would,cooccur_topic3_little,cooccur_topic3_good,smallpox_died_cooccurrences,cooccur_topic5_state,cooccur_topic2_said,cooccur_topic5_party,cooccur_topic4_sale,cooccur_topic5_york,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1874,49_1874-08-22_p2_sn82014998_00279557840_1874082201_0356,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032331278,0.1908612,0.65490013,0.15002233,0.0009832295
1874,3_1874-01-14_p4_sn85025567_00212472207_1874011401_0140,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008801891,0.0011451275,0.21867467,0.00067600963,0.7707023
1874,8_1874-12-12_p1_sn84020594_00271742563_1874121201_0596,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6441381,0.33447295,0.0006080375,0.0203723,0.00040868454
1874,50_1874-07-25_p3_sn85025202_00279557311_1874072501_0135,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41062307,0.010095555,0.5685851,0.0058237873,0.004872435
1874,11_1874-10-23_p4_sn83030313_00271743889_1874102301_0311,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001097532,0.9851371,0.00048108387,0.0003845794,0.012899759
1874,11_1874-11-13_pNone_sn84038328_00280763391_1874111301_0584,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43628287,0.1679233,0.009387595,0.0075379284,0.3788683
1874,2_1874-02-10_p2_sn83030214_00206531162_1874021001_0316,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49284053,0.0018856669,0.0014116823,0.0011339185,0.5027282
1874,58_1874-10-30_p1_sn83016025_00279525371_1874103001_0531,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01679954,0.21321978,0.7593892,0.005761977,0.004829542
1874,21_1874-05-22_p6_sn83030313_00271743865_1874052201_0715,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009049267,0.068158284,0.13973363,0.00034646838,0.7908567
1874,2_1874-08-23_p3_sn83030313_00271743877_1874082301_0603,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003287009,0.79777306,0.1965684,0.0012898785,0.0010816458
1874,62_1874-11-14_p3_sn84026820_00271765289_1874111401_0202,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017898506,0.011459322,0.47553486,0.48938376,0.005723552
1874,1_1874-01-27_p5_sn83030214_00206531162_1874012701_0215,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054685734,0.6170726,0.0017246652,0.0013889703,0.32512814
1874,20_1874-04-06_p11_sn83030214_00206531174_1874040601_0055,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5193968,0.4545962,0.010491814,0.008445886,0.007069347
1874,4_1874-08-12_p3_sn84020422_0033289495A_1874081201_0231,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018715896,0.121927984,0.7684981,0.10559851,0.0021038328
1874,39_1874-10-10_p9_sn83030313_00271743889_1874101001_0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1874,16_1874-09-13_p2_sn83030313_00271743877_1874091301_0866,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023092119,0.014224986,0.010502932,0.9451498,0.007030176
1874,1_1874-07-11_p2_sn84026837_00271740372_1874071101_0691,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004982063,0.0032859298,0.002423007,0.0019379803,0.987371
1874,5_1874-12-03_p6_sn83030214_00206531198_1874120301_0552,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83254325,0.0019883579,0.16326208,0.0012003903,0.0010058968
