year,id,word_count,cooccur_topic1_house,cooccur_topic2_white,cooccur_topic5_land,cooccur_topic2_silk,cooccur_topic3_bank,cooccur_topic3_public,cooccur_topic5_faid,smallpox_burial_cooccurrences,cooccur_topic4_would,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_black,cooccur_topic5_court,cooccur_topic1_town,smallpox_epidemic_cooccurrences,cooccur_topic4_part,cooccur_topic3_upon,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic4_state,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic3_make,cooccur_topic2_large,cooccur_topic1_shall,cooccur_topic4_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1818,20_1818-08-11_p3_sn83016083_00332895096_1818081101_0720,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009577368,0.22264008,0.700586,0.0036611515,0.06353537
1818,29_1818-02-03_p1_sn83016082_00332895096_1818020301_0610,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028463,0.6897121,0.26167086,0.0109673375,0.009186695
1818,22_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08301684,0.1627978,0.116923615,0.63587236,0.0013894199
1818,31_1818-08-04_p1_sn83016083_00332895096_1818080401_0714,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02569113,0.016592199,0.012653564,0.9365322,0.00853091
1818,2_1818-07-21_p1_sn83016083_00332895096_1818072101_0706,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007144244,0.004888988,0.0036013885,0.9819285,0.002436831
1818,13_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21326947,0.1014431,0.66781217,0.009515261,0.007959924
1818,5_1818-01-27_p2_sn83016082_00332895096_1818012701_0607,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028138114,0.015709717,0.010525987,0.2858062,0.65982
1818,11_1818-01-27_p3_sn83016082_00332895096_1818012701_0608,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025212867,0.0015181687,0.25318116,0.74201834,0.00076105515
1818,19_1818-08-04_p2_sn83016083_00332895096_1818080401_0715,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037896754,0.0021464843,0.5484908,0.44448668,0.0010863428
1818,51_1818-12-29_p3_sn83016083_00332895096_1818122901_0802,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
