year,id,word_count,cooccur_topic2_house,cooccur_topic3_bank,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic4_good,smallpox_sick_cooccurrences,cooccur_topic2_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic1_court,cooccur_topic2_york,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic4_medicine,cooccur_topic2_mile,cooccur_topic1_county,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic4_disease,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic4_sale,cooccur_topic3_people,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic2_john,cooccur_topic3_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1836,2_1836-11-03_p1_sn84020071_0041418294A_1836110301_0391,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003299696,0.99260116,0.0016506728,0.001332307,0.0011161722
1836,9_1836-08-26_p4_sn87062070_0039334295A_1836082601_1161,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99159306,0.0029211214,0.002213613,0.0017791169,0.0014931081
1836,9_1836-01-14_pNone_sn85042147_00202197954_1836011401_0262,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9798675,0.0072058663,0.0052158,0.0041951286,0.0035156666
1836,16_1836-11-10_p1_sn84020071_0041418294A_1836111001_0395,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009941204,0.0006180087,0.00045616765,0.03928897,0.9586428
1836,7_1836-09-30_p2_sn87062070_0039334295A_1836093001_1179,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49291465,0.2874627,0.21686329,0.0015012991,0.0012579899
1836,29_1836-08-05_p3_sn87062070_0039334295A_1836080501_1148,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8651328,0.047064975,0.035457104,0.028462844,0.02388224
1836,23_1836-07-01_p2_sn87062070_0039334295A_1836070101_1127,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95474434,0.015930364,0.011854811,0.009504004,0.007966446
1836,9_1836-06-10_p1_sn87062070_0039334295A_1836061001_1114,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018843634,0.34859142,0.0074433,0.005937275,0.6191844
1836,39_1836-06-03_p1_sn87062070_0039334295A_1836060301_1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1836,6_1836-11-03_p3_sn84020071_0041418294A_1836110301_0393,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59498554,0.37371236,0.012592558,0.010179887,0.008529704
