year,id,word_count,cooccur_topic1_house,smallpox_burial_cooccurrences,cooccur_topic5_price,cooccur_topic3_would,cooccur_topic5_good,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_stock,cooccur_topic2_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic2_ship,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic1_county,cooccur_topic5_assortment,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic4_every,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic1_said,cooccur_topic5_sale,cooccur_topic3_time,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1846,3_1846-08-24_p1_sn82014769_00415661010_1846082401_0051,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005280241,0.0032968982,0.5398312,0.44992435,0.0016672323
1846,5_1846-02-26_p1_sn82014769_00415661022_1846022601_0251,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031513653,0.0018460449,0.034195997,0.8915082,0.06929844
1846,27_1846-01-14_p2_sn83030213_00206530236_1846011401_0252,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36535084,0.022333218,0.01636867,0.013044876,0.5829024
1846,1_1846-03-19_p4_sn82014769_00415661022_1846031901_0322,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07498997,0.0013811039,0.0010348452,0.0008305189,0.9217636
1846,6_1846-04-04_p2_sn82016488_00513688040_1846040401_0607,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012357363,0.0075148367,0.9719133,0.0044676405,0.003746928
1846,45_1846-10-05_p3_sn82014769_00415661010_1846100501_0197,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044080228,0.9070625,0.019690512,0.01586094,0.013305797
1846,3_1846-10-10_p3_sn82014769_00415661010_1846101001_0217,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042004334,0.9912697,0.0018273363,0.0014698892,0.0012326047
1846,15_1846-10-23_p1_sn82003410_00415661162_1846102301_1066,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7090402,0.003482781,0.0025493107,0.28320992,0.0017178142
1846,19_1846-12-04_p2_sn84020566_0041418747A_1846120401_0015,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015375389,0.52065086,0.4568801,0.003860254,0.0032334304
1846,74_1846-12-21_p1_sn84020566_0041418747A_1846122101_0066,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728884,0.00220356,0.0016412536,0.2661713,0.00109996
1846,23_1846-07-04_p3_sn82014769_00415661022_1846070401_0693,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24745953,0.5630773,0.003962193,0.0031767064,0.18232423
1846,17_1846-04-22_p2_sn82007022_00393342882_1846042201_0516,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03498543,0.0215724,0.9195564,0.0129937045,0.010892053
1846,50_1846-01-01_p2_sn83009567_00296026141_1846010101_0009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17088416,0.030967128,0.7653381,0.017852586,0.014958091
1846,49_1846-06-19_p2_sn82014769_00415661022_1846061901_0640,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055800104,0.0031524438,0.9878633,0.0018514503,0.001552805
1846,55_1846-04-27_p4_sn82014769_00415661022_1846042701_0454,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02049658,0.011879451,0.008830554,0.0071237017,0.9516697
1846,11_1846-01-16_p3_sn83030213_00206530236_1846011601_0261,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004689842,0.9901792,0.0020768608,0.0016616096,0.0013924957
1846,49_1846-07-14_pNone_sn83009567_00296026141_1846071401_0692,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9886876,0.003993358,0.0029515664,0.0023750472,0.0019924922
1846,7_1846-08-31_p1_sn82014769_00415661010_1846083101_0075,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002759443,0.0017397688,0.0012905366,0.9933425,0.0008678042
1846,62_1846-09-10_p3_sn82014769_00415661010_1846091001_0113,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008620733,0.0050939824,0.98068446,0.0030490323,0.002551749
1846,80_1846-05-14_p2_sn82014769_00415661022_1846051401_0512,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72807467,0.21640274,0.022527006,0.017961614,0.015033985
1846,3_1846-05-14_pNone_sn84026472_00416156359_1846051401_0658,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007360374,0.004021541,0.0030327514,0.98355806,0.0020272834
1846,6_1846-01-28_p2_sn82007022_00393342882_1846012801_0468,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010982936,0.006397565,0.9755291,0.0038589477,0.0032314996
1846,60_1846-12-30_p2_sn83009567_00296026141_1846123001_1272,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79287267,0.19139513,0.0063665155,0.005091586,0.0042740717
1846,39_1846-10-24_p1_sn82003410_00415661162_1846102401_1070,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27767834,0.014446968,0.010735714,0.008621176,0.6885178
1846,20_1846-12-03_p2_sn84020566_0041418747A_1846120301_0011,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064277747,0.18034826,0.0028322258,0.8084901,0.0019015665
