year,id,word_count,cooccur_topic1_house,cooccur_topic2_bank,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic1_good,cooccur_topic4_remedy,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic5_court,cooccur_topic5_bill,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic5_county,cooccur_topic1_also,smallpox_death_cooccurrences,cooccur_topic2_city,cooccur_topic3_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic1_sale,cooccur_topic3_time,cooccur_topic2_john,cooccur_topic2_last,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1842,2_1842-07-30_p2_sn83030213_00206530169_1842073001_0340,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023897323,0.0015307111,0.79566586,0.0009093977,0.19950427
1842,21_1842-02-10_p3_sn84020071_00414182951_1842021001_0414,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3372355,0.2223872,0.008891432,0.007136162,0.42434964
1842,36_1842-09-03_p2_sn83030213_00206530170_1842090301_0118,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9624415,0.013190858,0.009810027,0.007920096,0.00663751
1842,7_1842-03-05_p3_sn83030212_00206530169_1842030501_0219,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91199607,0.08153028,0.0026086913,0.0021031986,0.0017617664
1842,1_1842-07-19_p4_sn83030213_00206530169_1842071901_0302,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017362226,0.0010721391,0.9960181,0.00063906075,0.00053448265
1842,36_1842-09-10_p2_sn83030213_00206530170_1842091001_0146,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9289069,0.06459421,0.0026328063,0.0021051788,0.0017608962
1842,18_1842-03-07_p4_sn83030212_00206530169_1842030701_0224,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023466522,0.013308768,0.009868373,0.94670796,0.0066484124
1842,38_1842-07-25_p2_sn83030213_00206530169_1842072501_0320,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006335178,0.003731231,0.0027916052,0.98527074,0.0018712945
1842,46_1842-02-08_pNone_sn83030212_00206530169_1842020801_0130,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016515883,0.4996143,0.47246942,0.0062011075,0.0051994007
1842,30_1842-11-29_p2_sn83030213_00206530170_1842112901_0420,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067410995,0.34099144,0.64731914,0.002691188,0.0022572193
1842,64_1842-08-05_p3_sn83030213_00206530170_1842080501_0019,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8870002,0.039909538,0.029410139,0.02377197,0.01990815
1842,86_1842-07-20_p1_sn83030213_00206530169_1842072001_0303,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5837617,0.01336454,0.009838794,0.3863992,0.0066358075
1842,21_1842-07-30_p1_sn83030213_00206530169_1842073001_0339,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9618395,0.0135827735,0.0099547235,0.007949888,0.006673123
1842,14_1842-01-27_p3_sn84020071_00414182951_1842012701_0406,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014921339,0.002080733,0.88526964,0.09671261,0.0010156691
1842,45_1842-07-20_p3_sn83030213_00206530169_1842072001_0305,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051009986,0.60972476,0.0022223757,0.0017852169,0.38116664
1842,1_1842-11-23_pNone_sn85042147_00202197978_1842112301_0401,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016635396,0.22727783,0.7699361,0.00061096397,0.00051158055
1842,45_1842-01-04_p1_sn83030212_00206530169_1842010401_0009,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9859096,0.004950767,0.0036829782,0.0029672484,0.002489468
1842,12_1842-07-27_p2_sn83030213_00206530169_1842072701_0328,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009615495,0.00062189676,0.18564406,0.00036910464,0.81240344
