year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1826,27_1826-06-22_p4_sn85042523_00271740244_1826062201_0597,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033768083,0.0022930622,0.0017442683,0.9914036,0.0011822474
1826,5_1826-02-21_p3_sn82014894_00271740207_1826022101_0508,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034970394,0.12787688,0.8663435,0.0012428402,0.001039722
1826,19_1826-04-11_p3_sn82014894_00271740207_1826041101_0565,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02748461,0.9294439,0.013608487,0.020264812,0.009198217
1826,14_1826-08-15_p4_sn82014894_00271740207_1826081501_0710,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032913042,0.0021311908,0.9921758,0.0013061869,0.0010954848
1826,19_1826-11-16_p2_sn85042523_00271740244_1826111601_0677,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14160343,0.8414958,0.00682464,0.0054806103,0.004595481
1826,10_1826-10-13_p3_sn82014894_00271740207_1826101301_0780,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059279473,0.83376426,0.0026912484,0.15580472,0.001811815
1826,3_1826-08-31_p3_sn85042523_00271740244_1826083101_0639,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334318,0.0027999454,0.0021226958,0.0016990551,0.9599465
1826,7_1826-03-31_p3_sn82014894_00271740207_1826033101_0552,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016583264,0.66978437,0.30653542,0.0038671326,0.0032298611
1826,8_1826-09-07_p3_sn85042523_00271740244_1826090701_0643,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4154262,0.056536198,0.005715076,0.5184627,0.0038598261
1826,4_1826-06-29_p1_sn85042523_00271740244_1826062901_0598,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06860864,0.0071795066,0.0053628734,0.00434905,0.91449994
