year,id,word_count,cooccur_topic3_house,cooccur_topic5_white,cooccur_topic2_bank,cooccur_topic3_public,cooccur_topic1_work,smallpox_burial_cooccurrences,cooccur_topic4_would,cooccur_topic4_good,cooccur_topic4_france,cooccur_topic1_received,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_black,cooccur_topic2_town,cooccur_topic5_company,smallpox_epidemic_cooccurrences,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic4_state,cooccur_topic1_read,cooccur_topic4_great,cooccur_topic1_american,smallpox_died_cooccurrences,cooccur_topic5_cotton,smallpox_plague_cooccurrences,cooccur_topic2_time,cooccur_topic1_vessel,cooccur_topic5_shall,cooccur_topic3_bill,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1814,1_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009758584,0.0063982485,0.97676104,0.0038526168,0.0032295887
1814,4_1814-12-26_pNone_sn83016082_00332895084_1814122601_0166,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057574627,0.2558971,0.0027474181,0.7337606,0.0018373745
1814,7_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025765859,0.94282293,0.012701241,0.010178234,0.008531722
1814,17_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036475246,0.0019742649,0.65571594,0.33768317,0.0009791073
1814,11_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027826764,0.0018696589,0.99329865,0.0011159275,0.0009331234
1814,26_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029783955,0.01986905,0.014771348,0.925608,0.0099676605
1814,8_1814-03-14_pNone_sn83016082_00332895084_1814031401_0006,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2909576,0.5386903,0.0047942135,0.09304125,0.07251662
1814,11_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01870064,0.72287947,0.008874841,0.24357241,0.0059726103
1814,32_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6150808,0.018592788,0.34617814,0.010960944,0.009187282
1814,6_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007319827,0.73139155,0.003497972,0.25544822,0.0023423804
