year,id,word_count,cooccur_topic4_would,cooccur_topic5_senate,cooccur_topic5_time,cooccur_topic3_town,cooccur_topic4_power,cooccur_topic5_maine,smallpox_death_cooccurrences,cooccur_topic1_portland,cooccur_topic3_name,cooccur_topic5_state,cooccur_topic4_dollar,cooccur_topic1_faid,cooccur_topic2_upon,cooccur_topic2_public,cooccur_topic3_county,cooccur_topic1_white,cooccur_topic2_country,cooccur_topic2_part,cooccur_topic1_john,cooccur_topic4_contribution,cooccur_topic4_bank,cooccur_topic1_hereby,cooccur_topic3_arrived,cooccur_topic3_land,cooccur_topic5_united,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1802,31_1802-06-21_p3_sn83016063_00332895060_1802062101_0017,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99656683,0.0012027476,0.00090201537,0.0007223177,0.0006061099
1802,5_1802-03-22_p4_sn83016063_00332895059_1802032201_0777,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067882272,0.0044103405,0.0033471128,0.9832001,0.0022542758
1802,11_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25052485,0.70550764,0.01775308,0.014266871,0.011947613
1802,23_1802-03-22_p3_sn83016063_00332895059_1802032201_0776,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11646367,0.85899615,0.009999686,0.007905505,0.006634963
1802,26_1802-02-22_p4_sn83016063_00332895059_1802022201_0761,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66562736,0.11499544,0.08863216,0.07107089,0.05967414
1802,2_1802-03-01_p1_sn83016063_00332895059_1802030101_0762,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586044,0.986929,0.0029041702,0.0023478968,0.0019584496
1802,15_1802-07-26_p1_sn83016063_00332895060_1802072601_0035,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17654747,0.51232797,0.12384552,0.1787477,0.008531376
1802,36_1802-08-16_p3_sn83016063_00332895060_1802081601_0049,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18089548,0.006001024,0.10865135,0.0035721487,0.70088
1802,8_1802-02-15_p1_sn83016063_00332895059_1802021501_0754,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012089806,0.008110944,0.0058878255,0.9699271,0.003984404
1802,9_1802-03-01_p1_sn83016063_00332895059_1802030101_0762,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13572682,0.85579634,0.0034291649,0.0027497585,0.0022979446
