year,id,word_count,cooccur_topic3_name,cooccur_topic4_contribution,cooccur_topic3_town,cooccur_topic5_maine,cooccur_topic1_portland,cooccur_topic2_part,cooccur_topic3_arrived,cooccur_topic4_bank,cooccur_topic3_land,cooccur_topic5_time,cooccur_topic5_state,cooccur_topic3_county,cooccur_topic2_upon,cooccur_topic1_hereby,cooccur_topic1_john,cooccur_topic4_dollar,cooccur_topic1_faid,cooccur_topic2_country,cooccur_topic5_senate,cooccur_topic1_white,cooccur_topic4_would,cooccur_topic5_united,cooccur_topic2_public,smallpox_death_cooccurrences,cooccur_topic4_power,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1803,5_1803-06-20_p4_sn83016072_00332895060_1803062001_0227,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18646817,0.6067637,0.19367126,0.0071258084,0.005971029
1803,3_1803-06-13_p2_sn83016072_00332895060_1803061301_0221,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033077378,0.6612988,0.016107703,0.0129518835,0.2765642
1803,6_1803-01-10_p3_sn83016072_00332895060_1803011001_0132,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019572467,0.6235317,0.009419561,0.34118757,0.006288756
1803,4_1803-06-06_p2_sn83016072_00332895060_1803060601_0217,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017599845,0.673784,0.2961251,0.00679729,0.0056937025
1803,38_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9769085,0.0079673445,0.006099813,0.004907953,0.0041164155
1803,24_1803-06-27_p2_sn83016072_00332895060_1803062701_0229,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907609,0.058838744,0.043999534,0.77655244,0.02984836
1803,19_1803-06-20_p4_sn83016072_00332895060_1803062001_0227,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9246649,0.026567215,0.019675652,0.015821448,0.013270852
1803,6_1803-07-18_p1_sn83021505_00332895060_1803071801_0240,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003243041,0.99286526,0.0015719343,0.0012626987,0.0010570792
1803,13_1803-06-06_p3_sn83016072_00332895060_1803060601_0218,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97422594,0.008925137,0.006784487,0.0054724063,0.004591958
1803,15_1803-06-27_p2_sn83016072_00332895060_1803062701_0229,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024165481,0.017292172,0.012617486,0.0101926485,0.93573225
1803,2_1803-05-30_p4_sn83016072_00332895060_1803053001_0215,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1803,28_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669213,0.014767577,0.011055902,0.29749942,0.0074640755
1803,52_1803-06-13_p3_sn83016072_00332895060_1803061301_0222,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32701942,0.01662566,0.6376294,0.0101955915,0.008529871
1803,20_1803-06-13_p1_sn83016072_00332895060_1803061301_0220,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9769078,0.007972899,0.0060956194,0.004907404,0.0041162535
1803,19_1803-05-30_p3_sn83016072_00332895060_1803053001_0214,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73727363,0.014499351,0.23187621,0.008887915,0.0074628973
1803,55_1803-06-20_p3_sn83016072_00332895060_1803062001_0226,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1803,9_1803-01-10_p3_sn83016072_00332895060_1803011001_0132,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58712703,0.057793774,0.044226725,0.280996,0.029856423
1803,25_1803-06-20_p2_sn83016072_00332895060_1803062001_0225,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1803,31_1803-06-27_p4_sn83016072_00332895060_1803062701_0231,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46490029,0.03330634,0.025421394,0.45930728,0.017064745
1803,15_1803-06-06_p3_sn83016072_00332895060_1803060601_0218,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59172785,0.11776823,0.27860248,0.006472263,0.0054292316
1803,11_1803-01-03_p1_sn83016072_00332895060_1803010301_0126,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16756414,0.11576891,0.08834092,0.071150005,0.557176
1803,3_1803-06-20_p1_sn83016072_00332895060_1803062001_0224,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08980274,0.9020745,0.0032642623,0.0026454523,0.0022129982
1803,1_1803-06-13_p4_sn83016072_00332895060_1803061301_0223,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026716901,0.93958,0.013567006,0.010946982,0.009189071
1803,4_1803-07-18_p1_sn83021505_00332895060_1803071801_0240,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004523556,0.98999035,0.0022094026,0.0017830998,0.0014936316
1803,1_1803-05-30_p4_sn83016072_00332895060_1803053001_0215,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9519656,0.039264664,0.0035277207,0.0028527263,0.0023893206
1803,20_1803-05-30_p4_sn83016072_00332895060_1803053001_0215,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022429736,0.014763359,0.01106993,0.9442692,0.0074678035
