year,id,word_count,cooccur_topic1_house,cooccur_topic3_upon,cooccur_topic2_last,cooccur_topic4_street,cooccur_topic2_john,cooccur_topic1_also,cooccur_topic5_state,cooccur_topic5_county,cooccur_topic3_time,cooccur_topic4_disease,cooccur_topic5_court,cooccur_topic3_would,cooccur_topic1_sale,cooccur_topic4_cure,cooccur_topic2_york,cooccur_topic4_medicine,cooccur_topic4_remedy,cooccur_topic1_good,cooccur_topic5_said,cooccur_topic3_great,cooccur_topic2_bank,cooccur_topic5_bill,cooccur_topic2_city,smallpox_death_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1843,78_1843-06-21_p3_sn83030213_00206530182_1843062101_0391,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9643038,0.012543739,0.009316783,0.007517508,0.006318257
1843,25_1843-12-04_p3_sn83030213_00206530194_1843120401_0231,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6918377,0.002200104,0.0016443796,0.0013153978,0.3030024
1843,24_1843-04-22_p3_sn82016488_00513688040_1843042201_0027,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037576593,0.0056180763,0.79232323,0.003322952,0.16115916
1843,4_1843-03-01_p2_sn83030213_00206530182_1843030101_0002,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012922945,0.9724312,0.005904836,0.0047533717,0.003987689
1843,54_1843-01-05_p1_sn83030213_00206530170_1843010501_0543,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019671254,0.012979629,0.009881114,0.9508292,0.0066387705
1843,5_1843-08-21_p3_sn83030213_00206530182_1843082101_0595,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92120486,0.0057171923,0.004245414,0.06598162,0.002850953
1843,11_1843-09-21_p1_sn83030213_00206530182_1843092101_0701,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037712548,0.07813468,0.0016698159,0.9153053,0.0011189539
1843,34_1843-12-19_p4_sn82016317_00415661642_1843121901_0192,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8160799,0.009271758,0.16455491,0.005487879,0.004605602
1843,5_1843-10-18_p2_sn85042147_00202197978_1843101801_0597,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043628956,0.0029187466,0.93305683,0.0017633685,0.057898197
1843,7_1843-03-31_p4_sn83030213_00206530182_1843033101_0110,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049782125,0.11132346,0.002398867,0.0019264019,0.8793731
