id,word_count,cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
39_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,20,0,0.7770217657089233,0.07666224241256714,0.059154000133275986,0.04737986996769905,0.03978215530514717
51_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,12,0,0.1378299444913864,0.7164032459259033,0.05856482684612274,0.04737994074821472,0.0398220419883728
53_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,9,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
1_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,266,0,0.0,0.0,0.0,0.9791466593742371,0.0
2_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,457,0,0.015813643112778664,0.010565675795078278,0.0,0.0,0.9591155052185059
4_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,192,0,0.01597851701080799,0.7389824390411377,0.2336280643939972,0.0,0.0
7_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,130,0,0.11644496023654938,0.7184392809867859,0.0,0.14863473176956177,0.0
8_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,458,0,0.9766650199890137,0.0,0.0,0.0,0.0
10_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,187,0,0.010267488658428192,0.0,0.0,0.9737451076507568,0.0
11_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,357,0,0.04228851571679115,0.0,0.03641477972269058,0.7890141010284424,0.12756986916065216
12_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,29,0,0.7717938423156738,0.08032737672328949,0.06071515753865242,0.047380730509757996,0.03978287801146507
13_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,49,0,0.03141129016876221,0.4304424822330475,0.01597984880208969,0.5113136172294617,0.010852726176381111
14_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,311,0,0.0,0.0,0.0,0.0,0.9823623299598694
15_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,190,0,0.0,0.0,0.0,0.8731634616851807,0.10533210635185242
17_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,84,0,0.1843550056219101,0.15794482827186584,0.021980687975883484,0.6207815408706665,0.014937972649931908
18_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,102,0,0.08681738376617432,0.058874890208244324,0.5406261682510376,0.2838072180747986,0.029874321073293686
19_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,72,0,0.03189880773425102,0.2072782665491104,0.016003428027033806,0.7339697480201721,0.01084975991398096
20_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,129,0,0.020556561648845673,0.21098750829696655,0.14280468225479126,0.6190063953399658,0.0
21_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,249,0,0.011098351329565048,0.14512422680854797,0.2925932705402374,0.4109281599521637,0.14025597274303436
28_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,69,0,0.03760191798210144,0.025594191625714302,0.019560858607292175,0.9039823412895203,0.013260702602565289
34_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,124,0,0.969089925289154,0.011014745570719242,0.0,0.0,0.0
35_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,34,0,0.17381080985069275,0.6075997948646545,0.08784681558609009,0.07106956839561462,0.05967302992939949
44_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,26,0,0.8869554400444031,0.040113721042871475,0.02934686839580536,0.023690229281783104,0.019893750548362732
49_1800-04-07_p4_sn83016063_00332895059_1800040701_0370,7,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
