id,word_count,smallpox_death_cooccurrences,cooccur_topic1_power,cooccur_topic1_time,cooccur_topic1_state,cooccur_topic1_public,cooccur_topic1_government,cooccur_topic2_black,cooccur_topic2_portland,cooccur_topic2_white,cooccur_topic2_good,cooccur_topic2_john,cooccur_topic3_bill,cooccur_topic3_bank,cooccur_topic3_dollar,cooccur_topic3_name,cooccur_topic3_read,cooccur_topic4_aged,cooccur_topic4_land,cooccur_topic4_town,cooccur_topic4_acre,cooccur_topic4_half,cooccur_topic5_county,cooccur_topic5_town,cooccur_topic5_name,cooccur_topic5_incorporate,cooccur_topic5_portland,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
25_1802-12-06_p4_sn83016072_00332895060_1802120601_0113,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23731811344623566,0.0,0.07510947436094284,0.6741433143615723
7_1802-02-22_p2_sn83016063_00332895059_1802022201_0759,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021832041442394257,0.014623367227613926,0.01099650003015995,0.9450833201408386,0.0
3_1802-03-01_p1_sn83016063_00332895059_1802030101_0762,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987822949886322,0.0,0.0,0.0,0.0
10_1802-06-07_p4_sn83016063_00332895060_1802060701_0010,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20648624002933502,0.7735615372657776,0.0,0.0,0.0
3_1802-08-23_p1_sn83016063_00332895060_1802082301_0051,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6208325624465942,0.01237335242331028,0.0,0.09177494794130325,0.27145805954933167
7_1802-07-26_p1_sn83016063_00332895060_1802072601_0035,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028762755915522575,0.019566871225833893,0.014735753647983074,0.011865068227052689,0.9250695705413818
4_1802-06-21_p1_sn83016063_00332895060_1802062101_0015,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013908437453210354,0.661646842956543,0.16897864639759064,0.0,0.15016666054725647
3_1802-07-19_p1_sn83016063_00332895060_1802071901_0031,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9772557616233826,0.0,0.0
12_1802-07-05_p2_sn83016063_00332895060_1802070501_0024,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01088566705584526,0.0,0.9737099409103394,0.0,0.0
13_1802-03-15_p3_sn83016063_00332895059_1802031501_0772,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5632149577140808,0.023693541064858437,0.017588568851351738,0.3835524022579193,0.011950518004596233
