id,word_count,smallpox_death_cooccurrences,cooccur_topic1_county,cooccur_topic1_late,cooccur_topic1_year,cooccur_topic1_notice,cooccur_topic1_taken,cooccur_topic2_black,cooccur_topic2_good,cooccur_topic2_cotton,cooccur_topic2_white,cooccur_topic2_plain,cooccur_topic3_day,cooccur_topic3_brig,cooccur_topic3_court,cooccur_topic3_whole,cooccur_topic3_state,cooccur_topic4_john,cooccur_topic4_bill,cooccur_topic4_public,cooccur_topic4_vote,cooccur_topic4_committee,cooccur_topic5_debt,cooccur_topic5_french,cooccur_topic5_army,cooccur_topic5_france,cooccur_topic5_petition,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
18_1806-03-31_p3_sn83016082_00332895060_1806033101_0805,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9042320847511292,0.032964687794446945,0.02528512477874756,0.02045305259525776,0.017065055668354034
14_1806-05-19_p2_sn83016082_00332895060_1806051901_0831,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572939395904541,0.0,0.27749454975128174,0.14655815064907074,0.0
4_1806-02-10_p1_sn83016082_00332895060_1806021001_0775,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018167644739151,0.011144815012812614,0.0,0.9565601348876953,0.0
12_1806-03-17_p2_sn83016082_00332895060_1806031701_0796,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2542944550514221,0.0,0.3532722294330597,0.0,0.3768038749694824
9_1806-06-23_p3_sn83016082_00332895060_1806062301_0852,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22245891392230988,0.09344487637281418,0.6716299057006836,0.0,0.0
6_1806-04-07_p2_sn83016082_00332895060_1806040701_0808,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5288597345352173,0.2611885070800781,0.20025880634784698
13_1806-02-24_p4_sn83016082_00332895060_1806022401_0786,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49033090472221375,0.029430868104100227,0.022325435653328896,0.017807699739933014,0.4401050806045532
58_1806-06-16_p4_sn83016082_00332895060_1806061601_0849,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04374527186155319,0.3185213804244995,0.02219245955348015,0.6006147861480713,0.014926113188266754
17_1806-05-26_p3_sn83016082_00332895060_1806052601_0836,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9203083515167236,0.0,0.0,0.061387963593006134,0.0
21_1806-05-19_p1_sn83016082_00332895060_1806051901_0830,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6948009729385376,0.015580475330352783,0.2721491754055023,0.0,0.0
8_1806-05-12_p3_sn83016082_00332895060_1806051201_0828,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38861846923828125,0.5854814052581787,0.010482422076165676,0.0,0.0
8_1806-02-03_p2_sn83016082_00332895060_1806020301_0772,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3775672912597656,0.019176986068487167,0.01487246248871088,0.15092509984970093,0.4374581277370453
35_1806-01-06_p4_sn83016082_00332895060_1806010601_0762,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013357329182326794,0.0,0.7821451425552368,0.0,0.1918511986732483
