id,word_count,smallpox_death_cooccurrences,cooccur_topic1_land,cooccur_topic1_black,cooccur_topic1_silk,cooccur_topic1_cotton,cooccur_topic1_good,cooccur_topic2_good,cooccur_topic2_work,cooccur_topic2_public,cooccur_topic2_john,cooccur_topic2_part,cooccur_topic3_state,cooccur_topic3_committee,cooccur_topic3_house,cooccur_topic3_time,cooccur_topic3_many,cooccur_topic4_county,cooccur_topic4_bank,cooccur_topic4_court,cooccur_topic4_portland,cooccur_topic4_notice,cooccur_topic5_state,cooccur_topic5_last,cooccur_topic5_time,cooccur_topic5_year,cooccur_topic5_house,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
27_1817-01-11_p1_sn83016082_00332895096_1817011101_0398,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7294646501541138,0.2541939318180084,0.0,0.0,0.0
26_1817-07-15_p2_sn83016082_00332895096_1817071501_0495,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3019600808620453,0.018569808453321457,0.24282900989055634,0.4274429380893707,0.0
20_1817-07-22_p3_sn83016082_00332895096_1817072201_0500,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836621284484863,0.0,0.0,0.0,0.0
20_1817-07-15_p4_sn83016082_00332895096_1817071501_0497,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022521095350384712,0.01550194900482893,0.011729007586836815,0.9422909021377563,0.0
37_1817-07-15_p2_sn83016082_00332895096_1817071501_0495,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9895524382591248,0.0,0.0
1_1817-01-11_p3_sn83016082_00332895096_1817011101_0400,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785841166973114,0.0,0.0,0.20118863880634308,0.0
34_1817-07-15_p2_sn83016082_00332895096_1817071501_0495,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1124676987528801,0.06460068374872208,0.0,0.0,0.8159632086753845
29_1817-06-24_p4_sn83016082_00332895096_1817062401_0485,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6525683403015137,0.021889066323637962,0.3017391562461853,0.012940920889377594,0.010862498544156551
2_1817-07-15_p3_sn83016082_00332895096_1817071501_0496,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9707832336425781,0.022828983142971992,0.0,0.0
18_1817-07-22_p4_sn83016082_00332895096_1817072201_0501,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9873442649841309,0.0,0.0,0.0,0.0
63_1817-07-15_p4_sn83016082_00332895096_1817071501_0497,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9802709221839905,0.0,0.0,0.0
16_1817-07-15_p3_sn83016082_00332895096_1817071501_0496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036544859409332275,0.023462213575839996,0.017643731087446213,0.28912970423698425,0.6332195401191711
1_1817-07-22_p4_sn83016082_00332895096_1817072201_0501,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9951304197311401,0.0,0.0,0.0,0.0
44_1817-01-11_p3_sn83016082_00332895096_1817011101_0400,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06488830596208572,0.017352575436234474,0.1834980547428131,0.010176369920372963,0.724084734916687
24_1817-09-30_p4_sn83016082_00332895096_1817093001_0541,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9643810391426086,0.012555936351418495,0.0,0.0,0.0
30_1817-10-07_pNone_sn83016082_00332895096_1817100701_0545,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961963951587677,0.013633756898343563,0.0,0.0,0.0
13_1817-01-11_p2_sn83016082_00332895096_1817011101_0399,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.26942873001098633,0.0,0.7224714159965515
3_1817-09-30_p4_sn83016082_00332895096_1817093001_0541,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020596642047166824,0.013679718598723412,0.010355406440794468,0.948347270488739,0.0
27_1817-10-07_pNone_sn83016082_00332895096_1817100701_0545,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6512950658798218,0.019581234082579613,0.014904036186635494,0.30426013469696045,0.0
